City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
beloha,-25.1667,45.05,66.02,98,18,4.16,MG,1665435071
sarangani,5.4033,125.4636,83.44,77,75,13.53,PH,1665435072
tuktoyaktuk,69.4541,-133.0374,30.2,86,100,20.71,CA,1665434770
arman,59.7,150.1667,24.17,82,45,5.84,RU,1665435074
biankouma,7.7391,-7.6138,70.34,91,13,1.79,CI,1665435074
smithers,54.7804,-127.1743,53.92,37,40,11.5,CA,1665435075
vaini,-21.2,-175.2,75.36,83,40,19.57,TO,1665434779
dikson,73.5069,80.5464,34.29,99,100,7.74,RU,1665435078
port macquarie,-31.4333,152.9167,59.9,77,100,4.38,AU,1665435079
albany,42.6001,-73.9662,59.67,80,67,5.91,US,1665434672
kodiak,57.79,-152.4072,54.91,67,20,17.27,US,1665434780
hilo,19.7297,-155.09,88.29,72,40,5.99,US,1665434680
rikitea,-23.1203,-134.9692,72.19,73,2,9.57,PF,1665434668
mataura,-46.1927,168.8643,44.89,96,99,6.24,NZ,1665434792
ushuaia,-54.8,-68.3,47.86,61,75,19.57,AR,1665434573
faanui,-16.4833,-151.75,78.03,75,31,18.59,PF,1665434808
punta arenas,-53.15,-70.9167,53.71,43,40,32.21,CL,1665434676
salta,-24.7859,-65.4117,70.39,20,0,13.8,AR,1665435089
nadym,65.5333,72.5167,39.74,84,85,16.4,RU,1665435091
port alfred,-33.5906,26.891,68.18,85,99,1.99,ZA,1665434619
roald,62.5833,6.1333,50.76,76,75,19.57,NO,1665434818
olafsvik,64.8945,-23.7142,38.66,65,98,14.63,IS,1665435093
hambantota,6.1241,81.1185,78.39,84,100,13.04,LK,1665435093
beringovskiy,63.05,179.3167,32.09,61,31,10.22,RU,1665435093
bilibino,68.0546,166.4372,11.55,96,100,4.47,RU,1665435086
yellowknife,62.456,-114.3525,54.12,58,75,13.8,CA,1665435094
khatanga,71.9667,102.5,5.23,97,70,2.24,RU,1665434772
shush,32.1942,48.2436,83.79,18,0,2.62,IR,1665435094
wenling,28.3669,121.36,52,61,52,11.05,CN,1665435067
jamestown,42.097,-79.2353,62.06,43,0,11.5,US,1665434803
beni,0.5,29.4667,63.01,99,100,2.1,CD,1665435126
albanel,48.8832,-72.4487,44.74,57,94,13.8,CA,1665435131
burns lake,54.2331,-125.7533,53.02,29,1,12.59,CA,1665435132
cape town,-33.9258,18.4232,70.38,67,0,3,ZA,1665434391
sakaiminato,35.55,133.2333,60.78,63,75,17.27,JP,1665435135
bluff,-46.6,168.3333,49.48,61,68,18.81,NZ,1665435136
hobart,-42.8794,147.3294,48.06,92,40,8.05,AU,1665434783
ribeira grande,38.5167,-28.7,72,88,20,3.44,PT,1665435139
lebu,-37.6167,-73.65,51.15,74,2,20.27,CL,1665434768
fortuna,40.5982,-124.1573,58.12,94,100,10.36,US,1665434667
busselton,-33.65,115.3333,53.01,66,98,10.54,AU,1665434614
codrington,-38.2667,141.9667,51.57,74,98,11.32,AU,1665434872
kamaishi,39.2667,141.8833,60.15,86,100,4.54,JP,1665435141
manacapuru,-3.2997,-60.6206,89.19,50,89,3.94,BR,1665435147
new norfolk,-42.7826,147.0587,47.71,82,13,1.72,AU,1665434614
puerto carreno,6.189,-67.4859,93.18,52,40,9.22,CO,1665435148
kaitangata,-46.2817,169.8464,47.28,87,98,11.34,NZ,1665434687
kapaa,22.0752,-159.319,84.11,70,0,6.91,US,1665434786
hermanus,-34.4187,19.2345,69.8,54,100,4.21,ZA,1665434794
kahului,20.8947,-156.47,87.82,70,40,9.22,US,1665435150
nhulunbuy,-12.2333,136.7667,77.61,94,55,2.3,AU,1665434860
kresttsy,58.2452,32.5165,40.82,90,100,4.85,RU,1665435153
butaritari,3.0707,172.7902,82,73,95,13.27,KI,1665434649
barrow,71.2906,-156.7887,23.02,86,0,14.97,US,1665434821
lompoc,34.6391,-120.4579,81.01,79,100,10.36,US,1665435156
port lincoln,-34.7333,135.8667,64.63,37,99,14.81,AU,1665435157
east london,-33.0153,27.9116,68.27,85,100,17.56,ZA,1665434720
tasiilaq,65.6145,-37.6368,33.96,98,100,15.35,GL,1665434666
geraldton,-28.7667,114.6,46.81,87,97,2.3,AU,1665434783
carnarvon,-24.8667,113.6333,63.93,62,96,20.58,AU,1665434854
padang,-0.9492,100.3543,76.91,82,99,2.75,ID,1665434780
bethel,41.3712,-73.414,65.75,57,100,5.75,US,1665434771
tilichiki,60.4667,166.1,33.28,67,97,5.59,RU,1665435164
constitucion,-35.3333,-72.4167,57.81,63,0,13.6,CL,1665434793
beya,53.0533,90.9139,40.28,91,100,9.62,RU,1665434973
longyearbyen,78.2186,15.6401,33.64,75,100,3.44,SJ,1665435057
rovinj,45.08,13.64,59.49,73,93,4.47,HR,1665434988
iwanai,42.9744,140.5089,53.17,90,93,5.84,JP,1665435194
dandong,40.1292,124.3947,34.56,88,0,5.26,CN,1665435194
atuona,-9.8,-139.0333,76.51,69,12,13.06,PF,1665434884
lagoa,39.05,-27.9833,70.05,87,81,6.71,PT,1665434796
mahajanga,-15.7167,46.3167,73.42,78,0,2.3,MG,1665435196
cabo san lucas,22.8909,-109.9124,94.6,56,0,7.85,MX,1665434879
nikolskoye,59.7035,30.7861,44.8,86,64,6.49,RU,1665434657
havre-saint-pierre,50.2334,-63.5986,43.16,70,40,21.85,CA,1665434779
castro,-24.7911,-50.0119,57.4,97,100,9.06,BR,1665434678
cotonou,6.3654,2.4183,80.58,83,20,8.05,BJ,1665435212
mogadishu,2.0371,45.3438,77.09,82,6,16.51,SO,1665435123
torbay,47.6666,-52.7314,51.39,60,20,20.71,CA,1665435229
saint-philippe,-21.3585,55.7679,71.19,81,22,8.97,RE,1665434768
bredasdorp,-34.5322,20.0403,63.97,66,96,3.44,ZA,1665434772
christchurch,-43.5333,172.6333,61.48,44,100,5.75,NZ,1665435175
abrau-dyurso,44.69,37.59,53.06,59,22,17.11,RU,1665435230
provideniya,64.3833,-173.3,30.31,80,20,6.71,RU,1665434781
cherskiy,68.75,161.3,17.17,95,100,12.35,RU,1665434866
buala,-8.145,159.5921,82.33,67,9,3.31,SB,1665435231
hasaki,35.7333,140.8333,74.21,66,98,27.2,JP,1665434984
naze,28.3667,129.4833,68.92,60,100,15.88,JP,1665435243
mumford,5.2618,-0.759,77.38,87,26,7.36,GH,1665435245
san miguel,13.4833,-88.1833,74.53,99,100,2.24,SV,1665435248
broome,42.2506,-75.833,61.38,64,85,3,US,1665435249
tiksi,71.6872,128.8694,12.54,85,99,13.96,RU,1665434771
airai,-8.9266,125.4092,60.87,82,100,2.1,TL,1665434809
santa cruz del sur,20.7147,-77.9956,85.01,67,93,2.66,CU,1665435260
yaan,7.3833,8.5667,75.33,87,43,4.68,NG,1665435264
bambous virieux,-20.3428,57.7575,71.85,78,40,6.91,MU,1665434857
broken hill,-31.95,141.4333,59.2,38,100,11.18,AU,1665435266
verkhnevilyuysk,63.4453,120.3167,22.28,99,100,0.83,RU,1665435269
vila velha,-20.3297,-40.2925,78.75,83,75,17.27,BR,1665435280
lucapa,-8.4192,20.7447,69.31,46,6,1.14,AO,1665435291
anadyr,64.75,177.4833,23.5,85,0,2.24,RU,1665435297
cururupu,-1.8283,-44.8683,79.41,76,63,5.64,BR,1665434872
arraial do cabo,-22.9661,-42.0278,75.06,83,40,4.61,BR,1665434771
