City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind Speed,Country,Date
busselton,-33.65,115.3333,56.17,64,19,14.16,AU,1665397565
new norfolk,-42.7826,147.0587,54.91,60,55,2.3,AU,1665397694
chuy,-33.6971,-53.4616,45.77,75,0,2.64,UY,1665397694
kushima,31.4583,131.2333,61.61,68,100,9.73,JP,1665397696
ushuaia,-54.8,-68.3,49.66,53,75,14.97,AR,1665397469
lucapa,-8.4192,20.7447,92.37,24,2,4.18,AO,1665397699
zhanaozen,43.3,52.8,74.03,17,100,25.88,KZ,1665397699
midland,31.9974,-102.0779,59.68,91,100,4.61,US,1665397699
ponta do sol,32.6667,-17.1,76.71,68,88,3,PT,1665397706
los llanos de aridane,28.6585,-17.9182,71.35,76,75,12.66,ES,1665397707
port alfred,-33.5906,26.891,72.18,78,92,11.01,ZA,1665397707
cape town,-33.9258,18.4232,77.11,50,0,5.75,ZA,1665397672
chak azam sahu,30.75,73.0333,81.32,58,81,8.12,PK,1665397707
butaritari,3.0707,172.7902,80.82,81,100,11.92,KI,1665397707
puerto ayora,-0.7393,-90.3518,66.54,88,88,3,EC,1665397707
saint george,37.1041,-113.5841,64.94,49,0,5.75,US,1665397707
nara,34.6851,135.8049,65.52,68,100,4.85,JP,1665397708
nikolskoye,59.7035,30.7861,51.69,65,68,9.17,RU,1665397708
kindu,-2.95,25.95,90.45,43,100,2.06,CD,1665397708
pevek,69.7008,170.3133,25.11,78,100,24.79,RU,1665397708
bandarbeyla,9.4942,50.8122,83.19,69,58,19.48,SO,1665397708
talnakh,69.4865,88.3972,38.21,99,100,14.97,RU,1665397709
nyurba,63.2842,118.3319,29.03,90,100,4.18,RU,1665397709
tasiilaq,65.6145,-37.6368,33.96,95,100,8.05,GL,1665397709
fortuna,40.5982,-124.1573,52.93,85,26,2.24,US,1665397709
darnah,32.767,22.6367,74.57,60,8,11.54,LY,1665397504
rikitea,-23.1203,-134.9692,72.01,68,0,11.01,PF,1665397709
half moon bay,37.4636,-122.4286,59.79,94,100,3.44,US,1665397709
tautira,-17.7333,-149.15,76.32,80,53,18.48,PF,1665397709
albany,42.6001,-73.9662,48.31,87,98,3.74,US,1665397709
sao filipe,14.8961,-24.4956,78.1,74,21,9.28,CV,1665397709
grindavik,63.8424,-22.4338,37.87,65,40,10.36,IS,1665397710
haines junction,60.7522,-137.5108,39.15,75,95,6.91,CA,1665397710
punta arenas,-53.15,-70.9167,48.31,66,40,29.93,CL,1665397710
qaanaaq,77.484,-69.3632,6.24,64,10,8.86,GL,1665397679
talara,-4.5772,-81.2719,62.98,87,20,12.57,PE,1665397710
akyab,20.15,92.9,84.56,75,46,12.41,MM,1665397710
castro,-24.7911,-50.0119,55.89,98,100,9.08,BR,1665397711
hilo,19.7297,-155.09,79.29,94,0,3.44,US,1665397711
kaitangata,-46.2817,169.8464,52.03,72,44,4.85,NZ,1665397711
puteyets,65.1716,57.091,44.62,72,98,11.36,RU,1665397711
vila franca do campo,37.7167,-25.4333,73.81,85,50,5.97,PT,1665397711
port blair,11.6667,92.75,80.38,74,100,4.21,IN,1665397711
clyde river,70.4692,-68.5914,16.03,79,40,14.97,CA,1665397712
strezhevoy,60.7333,77.5889,46.4,83,100,12.37,RU,1665397425
ilinge,-31.9768,27.0427,79.56,34,46,3.2,ZA,1665397712
vaitape,-16.5167,-151.75,77.72,75,7,19.48,PF,1665397712
lebu,-37.6167,-73.65,47.26,77,1,17.43,CL,1665397712
thompson,55.7435,-97.8558,41.16,93,40,5.75,CA,1665397712
saint-philippe,-21.3585,55.7679,76.59,72,5,12.77,RE,1665397586
eydhafushi,5.1033,73.0708,79.75,81,93,22.21,MV,1665397712
kaseda,31.4167,130.3167,65.32,64,100,18.12,JP,1665397713
